protectionist,age,female,TUmember,partyid,ideology,schooling
0,49,0,0,3,2,15
1,55,0,0,6,0,16
1,44,1,0,2,2,17
0,49,1,0,5,0,14
1,57,1,0,0,2,17
0,55,0,0,5,0,16
1,34,1,0,2,0,14
0,32,1,0,2,2,16
0,30,0,0,0,2,17
0,27,0,0,4,2,14
1,37,0,0,1,0,17
1,32,1,1,1,0,12
0,31,0,1,5,0,14
1,38,1,0,5,0,16
0,36,0,0,6,0,17
0,34,0,0,4,0,17
0,41,1,0,0,2,15
1,47,1,0,2,2,12
0,27,0,0,2,0,14
0,59,0,1,6,0,12
0,49,0,0,6,0,17
1,71,0,0,3,0,8
0,30,0,0,6,0,17
0,37,0,0,5,1,14
1,28,0,0,5,0,12
0,77,0,0,6,0,16
0,28,1,0,5,2,12
0,47,1,0,1,2,14
0,34,0,0,0,2,14
1,56,0,0,6,0,12
0,38,0,0,6,0,16
1,26,0,0,5,0,14
1,69,0,0,5,2,14
0,83,0,0,5,0,12
0,28,1,0,3,0,17
0,41,0,0,5,0,17
0,30,0,0,6,0,17
1,35,1,0,5,0,16
1,25,0,0,4,0,15
0,35,0,0,0,2,15
1,30,0,0,4,2,12
0,76,0,0,5,0,14
1,29,1,0,3,1,16
0,39,1,0,6,0,12
0,30,0,1,5,0,14
0,74,1,0,0,2,13
1,74,1,0,4,0,14
0,48,1,0,2,0,12
0,41,0,0,6,0,16
1,35,1,0,5,0,14
0,48,0,0,0,2,12
0,76,1,0,0,2,16
0,65,1,0,6,2,13
0,77,0,0,6,0,12
1,69,1,0,0,0,12
1,35,0,0,6,0,16
0,52,1,0,0,2,14
1,72,1,0,1,0,14
1,60,0,0,4,0,17
1,30,1,0,2,2,14
0,34,0,0,5,0,16
0,47,0,1,2,2,16
0,38,1,0,3,1,17
1,83,1,0,0,0,12
0,54,0,0,5,0,16
0,70,0,0,5,0,17
1,70,1,0,5,1,14
1,72,0,1,0,0,9
1,79,1,0,0,0,16
0,67,0,0,0,2,7
0,27,0,0,3,1,17
1,35,0,1,1,0,14
1,45,0,0,1,0,12
0,43,0,0,0,2,16
1,55,0,0,4,0,10
1,54,0,0,4,0,14
1,69,0,0,6,0,12
0,38,0,0,4,1,16
1,65,1,0,0,0,10
0,33,0,1,1,2,16
1,36,1,0,6,0,14
1,75,0,0,5,0,12
1,71,1,0,4,2,5
1,32,0,1,4,0,12
1,33,1,0,4,0,16
1,36,1,0,1,0,12
1,77,1,0,5,2,12
1,80,0,0,1,0,12
1,72,1,0,0,2,10
0,37,1,0,2,0,12
1,33,0,0,3,0,14
1,74,0,0,0,1,12
1,35,0,1,4,2,14
1,70,1,0,1,2,12
0,61,1,0,3,0,12
0,42,0,1,5,0,12
0,29,0,1,4,0,12
0,34,1,0,1,2,17
0,48,0,0,1,0,14
0,38,1,0,0,2,12
1,65,0,0,1,0,10
0,34,1,0,4,0,16
0,45,1,0,1,2,12
1,52,1,0,4,0,12
1,19,0,0,1,0,13
1,74,1,0,1,0,12
0,51,1,0,5,0,15
0,33,0,0,2,2,17
1,23,1,0,3,0,12
1,39,1,0,3,1,13
1,57,0,0,0,2,12
0,42,0,0,5,0,12
0,28,1,0,1,2,17
1,80,0,1,0,1,12
0,38,1,0,0,2,16
1,57,1,1,0,2,17
0,35,1,0,2,0,14
0,40,0,0,5,0,14
1,71,1,0,0,2,12
1,27,1,0,4,2,11
1,72,0,0,5,1,12
1,50,0,1,2,1,12
0,52,1,0,6,0,17
0,51,1,0,2,0,16
0,45,0,0,6,0,13
1,61,0,0,5,0,14
1,50,1,0,2,2,12
0,22,1,0,2,2,16
0,25,0,0,5,0,12
0,54,0,0,4,0,14
0,48,0,1,1,2,15
1,64,0,0,5,0,14
0,38,1,1,4,2,12
1,62,1,0,0,2,16
1,31,1,0,4,0,14
1,64,1,0,1,0,12
1,66,1,0,4,0,14
1,22,1,0,0,2,15
1,42,0,0,2,0,12
1,33,1,0,2,1,14
0,68,0,0,3,0,16
1,54,1,1,0,1,12
1,79,0,0,0,2,4
1,66,1,0,1,0,12
0,43,1,0,5,0,16
0,49,0,0,6,0,13
0,20,1,0,2,2,13
1,62,1,0,6,0,14
1,64,0,0,0,0,2
1,51,0,0,5,0,15
0,31,0,1,2,2,13
0,22,1,0,1,2,16
0,50,0,1,0,2,16
0,47,1,0,0,2,17
0,52,1,1,0,2,16
1,39,0,0,2,2,14
0,40,0,0,2,0,16
1,58,1,0,5,0,11
0,72,1,0,0,0,12
0,41,1,0,5,0,14
1,35,0,0,2,0,16
0,35,0,0,6,0,12
1,31,1,0,1,2,17
0,53,0,0,2,2,16
0,31,0,0,5,0,17
0,37,1,0,4,0,16
1,19,1,0,6,0,13
0,29,1,0,2,2,17
0,36,0,1,0,2,16
0,44,1,0,6,0,16
1,55,0,0,6,0,17
0,69,0,0,6,0,12
1,44,1,0,2,2,16
1,70,0,0,5,0,17
1,30,1,0,6,0,17
1,36,0,0,0,2,14
0,47,0,0,2,0,17
1,31,1,0,0,1,12
0,55,0,0,4,0,17
1,52,0,0,4,2,17
0,56,0,0,6,0,17
0,39,1,0,0,2,16
0,51,0,0,6,0,14
0,22,1,0,5,0,15
0,40,1,0,2,0,12
0,20,1,0,6,2,13
1,20,1,0,2,2,14
1,20,1,0,2,1,14
1,20,1,0,1,2,13
1,25,0,1,2,1,12
0,49,1,1,0,2,17
0,48,1,0,1,1,14
1,38,1,0,1,0,12
1,67,0,0,0,0,10
1,35,1,0,2,0,12
0,29,0,0,4,0,14
1,39,0,0,4,0,12
0,42,0,0,5,0,16
1,34,1,0,0,0,12
1,53,0,0,0,1,10
0,21,1,0,4,0,15
1,18,1,0,4,2,12
0,25,1,0,2,2,16
1,45,1,0,5,0,12
1,37,1,0,5,0,13
1,77,1,0,6,0,14
1,30,0,0,0,2,13
1,37,0,0,5,2,14
0,63,0,0,5,1,17
1,42,1,0,3,2,12
1,29,1,0,6,0,16
0,50,1,0,6,0,17
